"Id","Area","Perim","Capacity","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","Dg_Cvroliki","CF_beta0_Cvroliki","F_d20000_p0.01_beta1_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki","d_EC_d524300_p1.0E-10_Cvroliki","Cvroliki_cluster21","BC_d654500_p1.0E-10_beta0_Clunulatus"
"72","4.2069999999999876E9","573999.9999999995","4.2069999999999876E9","7.97855587248106E-116","3.448254822834518E-58","2.058811466532468E-23","25.0","870.9568050805573","8428792.221811794","1.1699045285334592E-10","0.013620821114228857","218","3.2507056421895407E-10"
"73","4.4E8","126000.0","4.4E8","8.845596835490839E-110","2.974154810276499E-55","1.5464839897194072E-22","32.0","362.2478743059649","9.517714182950516E7","8.816583157421314E-11","4.089798629114788E-4","158","0.0"
"74","1.57E8","56000.0","1.57E8","8.830429065273531E-110","3.1630346349360387E-55","2.082908348060364E-22","35.0","424.1957127877228","4.9540698309942126E8","1.5364057191193697E-10","2.09125924824541E-4","158","3.1710962200866264E-11"
"75","5.311999999999985E9","947999.9999999986","5.311999999999985E9","9.167883553877678E-123","9.70905611847413E-62","5.079131446062375E-25","26.0","1838.4543348743841","44.862765322557635","1.1422906704897808E-11","0.016423903107451905","247","6.341730996842421E-12"
"76","6.31E8","162000.0","6.31E8","0.0","0.0","0.0","33.0","468.8329240957632","1.0087564210384555E8","0.0","0.0013092152937686703","201","1.732821620380885E-11"
"77","2.08E8","66000.0","2.08E8","1.0246058614845609E-124","1.0122281879249197E-62","1.5939912602203507E-25","30.0","267.33609391928366","1.1762868174902199E8","3.882157256675613E-12","1.9464501535224898E-4","158","3.652958148499075E-11"
"78","7.39E8","188000.0","7.39E8","5.269301269125854E-115","7.289380755238724E-58","1.5894633936738497E-23","36.0","445.00700973559776","1.330593895863446E8","4.816353878133112E-11","7.494171763962506E-4","158","1.0344357496789818E-10"
"79","2.96E8","90000.0","2.96E8","8.806918588231472E-167","9.384518415044787E-84","6.151270092471409E-34","34.0","408.78432595365916","1.5518235813829318E8","4.895177753804881E-16","3.0800957941172345E-4","158","7.051439574417935E-11"
"80","1.321999999999995E9","191999.99999999953","1.321999999999995E9","1.3822657442134376E-115","5.979710271093261E-58","2.873936847123153E-23","59.0","567.0830954997431","6.979421261952825E8","1.3064679879450872E-10","0.010239348421919899","235","3.2809687372065617E-10"
"81","3.48E8","82000.0","3.48E8","5.636163433173331E-117","7.507483752827791E-59","5.672155477850666E-24","45.0","414.4696107223888","7.268197318815593E8","2.1696499268584984E-11","0.0011529445607050466","212","5.10184185600383E-11"
"82","7.8E8","124000.0","7.8E8","4.072303941852225E-112","3.2398532878495563E-56","1.7223245531217569E-22","58.0","512.0816423730903","2.515635828104365E8","3.076541946683904E-10","0.005352436376861882","235","2.6145987528007085E-10"
"83","3.68E8","88000.0","3.68E8","2.997229419006684E-110","2.8343765279641548E-55","3.5084206663221957E-22","49.0","498.4931413058472","2.5757022779556343E8","3.2400355416895597E-10","9.358855881872588E-4","212","2.8646088922667215E-10"
"84","7000000.0","12000.0","7000000.0","6.863508719350096E-111","1.5773228981724132E-55","3.265008196187419E-22","53.0","466.9553258085887","5.027233724328675E9","3.9478952464254123E-10","7.446066223881183E-5","235","4.0684583164932243E-10"
"85","7.969999999999971E8","199999.99999999953","7.969999999999971E8","7.391866497068734E-122","2.7188101964092385E-61","5.983068695740694E-25","49.0","494.7910796286189","263995.08067770704","7.772151009572102E-12","0.0016686344490074087","235","1.9036614859268075E-12"
"86","7.94E8","134000.0","7.94E8","2.201854740062573E-112","2.0977808790237144E-56","8.44646554496631E-23","57.0","497.88257509880225","6229719.547742724","1.4221368217698668E-10","0.002786628256494292","235","2.0536788676814684E-10"
"87","1.0069999999999923E9","151999.99999999953","1.0069999999999923E9","9.098877040830831E-120","3.018715110559533E-60","1.6567280900315453E-24","48.0","423.8914371943732","3.8399575024772465E8","1.5382254538628332E-11","0.007362097344454924","235","7.633860882333292E-11"
"88","1.68E8","58000.0","1.68E8","1.5835495441438464E-115","3.9795458190655134E-58","1.1180695927372043E-23","16.0","630.8656127847569","1418.4913589559712","3.207325901608871E-11","7.341446880285703E-5","247","7.657454835159741E-11"
"89","9.637999999999979E9","691999.9999999991","9.637999999999979E9","1.29580594241793E-114","1.3012547025310843E-57","3.3628293880232797E-23","65.0","1065.9015783262228","1.2400141706934767E9","1.2431258144349515E-10","0.09641721195931391","235","3.4106299494818806E-10"
"90","3.18E8","78000.0","3.18E8","3.0793081149778245E-112","2.042086758459559E-56","9.86433163004165E-23","57.0","492.2360168237044","1.3545239933965293E8","1.9246297007873487E-10","0.0021237741072797165","235","3.89005287656746E-10"
"91","1.3559999999999938E9","197999.99999999953","1.3559999999999938E9","3.952377496071613E-115","8.670814576891933E-58","3.4657552147323947E-23","59.0","623.0546441048118","7.657960205307814E9","1.3649088190952367E-10","0.016843329064035156","235","3.1446553540321474E-10"
"92","1.6899999999999675E8","59999.999999999534","1.6899999999999675E8","3.322814453274355E-111","5.764385876461043E-56","8.022342845044463E-23","9.0","262.4136074977743","1.1415822353207733E8","6.51470995637057E-11","7.311901349361875E-5","250","5.08268823596091E-11"
"93","4.92E8","102000.0","4.92E8","1.9877034318976704E-110","2.0480050990040596E-55","2.7065155916689257E-22","60.0","528.371373456949","4.6555948145248216E8","3.28559947575103E-10","0.002089170654957232","235","4.894090645365536E-10"
"94","7.52E8","134000.0","7.52E8","6.127672171845472E-113","7.847791391051716E-57","4.0974949153672675E-23","48.0","346.6303977503995","1.550174137353916E7","7.115375491541344E-11","0.0016932667246790862","212","3.480343341900719E-10"
"95","3.77E8","84000.0","3.77E8","2.9999622463825603E-130","1.7629332174815476E-65","1.6196970108663837E-26","46.0","268.00523652886926","1734281.2292012451","2.1756788307715526E-12","4.732022394008357E-4","235","1.0444122711611088E-10"
"96","2.85E8","82000.0","2.85E8","3.2355463858772355E-121","5.688186341776468E-61","7.979754421865349E-25","44.0","278.30938813719234","2074169.499215959","7.77732956348081E-12","8.426227898402209E-4","235","1.9655172743373425E-10"
"97","7.32E8","120000.0","7.32E8","3.4334827538813544E-111","7.268695032779627E-56","2.4375421629187033E-22","59.0","516.8732078043195","3.2398756319292796E8","4.2958183205797564E-10","0.0039192000796158","235","4.769260970171531E-10"
"98","4000000.0","8000.0","4000000.0","2.6680500032771734E-109","5.1653172132620856E-55","1.9308361308825505E-22","45.0","258.06323345611355","1.2875163021715307E8","1.0328641823375696E-10","3.845942950381646E-6","235","1.598234090300201E-10"
"99","7.05999999999998E8","127999.99999999977","7.05999999999998E8","1.755334059319618E-112","1.6729451288331027E-56","8.786877629566377E-23","49.0","338.63215300002145","2584396.9458458135","1.423881837333146E-10","8.085575565076208E-4","212","2.028177342214612E-10"
"100","2.91E8","84000.0","2.91E8","1.0052767351155049E-119","3.2547397124123074E-60","1.9753920839494022E-24","47.0","257.7052882642363","2834552.923446375","1.8030926455601917E-11","2.698104542061829E-4","212","9.967346361806747E-11"
"101","3.22E8","84000.0","3.22E8","1.7563694459345148E-133","4.1909061620782144E-67","2.8114034580902993E-27","45.0","294.70973555705024","1.7632959205798477E7","5.753979404932652E-13","3.7141643872821544E-4","235","2.0476621704515924E-10"
"102","4.37E8","92000.0","4.37E8","1.090880028699359E-132","1.0444520236076463E-66","4.051998647312592E-27","46.0","312.9189277917092","4.854957161557025E7","7.043163142451285E-13","8.804443885639751E-4","235","4.106824169172295E-10"
"103","3.2309999999999957E9","457999.99999999977","3.2309999999999957E9","7.273614756350882E-114","2.83690484461356E-57","3.6750825318827075E-23","50.0","608.2238206566193","6.92661699069455E7","1.2090431917484567E-10","0.00936203337539101","212","3.019998248671716E-10"
"104","3.83E8","88000.0","3.83E8","1.2429460487343293E-120","1.114874902729155E-60","1.0444758857614109E-24","45.0","287.8435271985514","2.7347231226863813E7","8.917304589769356E-12","5.85134218003209E-4","235","1.392746396142568E-10"
"105","8.969999999999942E8","135999.99999999953","8.969999999999942E8","2.5054264385406142E-110","1.7482056294996924E-55","1.72750500346736E-22","49.0","327.12007925234","70420.29430523825","1.5417617436634987E-10","0.0014510487633353766","249","2.2461777773345365E-10"
"106","5.21E8","104000.0","5.21E8","1.334634025309511E-111","6.848718556354139E-56","2.1010355862548404E-22","49.0","349.2466349920642","1.7515161410551842E7","2.9611146777211853E-10","0.0024079112123017842","235","3.542964073495593E-10"
"107","4.64999999999994E8","99999.99999999953","4.64999999999994E8","1.5232619367012582E-111","5.82443064568768E-56","1.4695370392229456E-22","45.0","296.6589681344855","5.8849676877489045E7","1.5396234984421465E-10","8.917144600543715E-4","235","2.8835091176282096E-11"
"108","5.15E8","102000.0","5.15E8","1.3623042498242014E-112","1.4205639644296098E-56","6.82772892459666E-23","46.0","244.08085361405062","77131.25215081024","1.06790014583833E-10","3.9082399419803916E-4","235","1.3202855444643355E-10"
"109","1.465E9","206000.0","1.465E9","1.3588011303841617E-113","3.687500083076481E-57","2.82884944380179E-23","48.0","353.767886583794","1.0417885810501376E8","5.893370126769808E-11","0.004949709575782593","235","1.2877190490723603E-10"
"110","2.6299999999999976E9","295999.99999999977","2.6299999999999976E9","4.735428586045413E-137","6.881445041592219E-69","5.433402275407322E-28","48.0","328.48718905360477","1.1339943056862762E7","2.6975231794854525E-13","0.013136442282351841","249","3.851138978707206E-11"
"111","1.5929999999999986E9","399999.99999999953","1.5929999999999986E9","1.9135271203815576E-115","7.882418277369043E-58","3.574494354913135E-23","59.0","450.7467501664383","513066.1964384721","1.335942969187071E-10","0.0057709928703312645","234","2.689859095965391E-11"
"112","1.93E8","74000.0","1.93E8","9.056244251917067E-116","3.5764391177130546E-58","1.666205692090575E-23","47.0","278.8890241029767","7.610096152997483E7","6.054768490356828E-11","4.7133578162269937E-4","249","2.4150010261540862E-11"
"113","2.859999999999982E8","79999.99999999977","2.859999999999982E8","0.0","0.0","0.0","9.0","155.3511280848586","1.8341011075882637E-8","0.0","4.7117148561279546E-5","250","0.0"
"114","6.36E8","114000.0","6.36E8","1.3178703705694322E-115","4.018147935633205E-58","1.606934856047123E-23","46.0","254.87655044928894","2.3218941800267273E8","5.5189788431145734E-11","0.001228907547572624","235","8.584565744807323E-11"
"115","1.15E8","62000.0","1.15E8","1.2931604641431962E-124","1.1421325759209329E-62","1.9560500513991628E-25","47.0","271.47305477808067","1.0236655224286571E8","6.306725074227922E-12","2.5547940932901754E-4","249","1.8566490241586525E-11"
"116","3.6099999999999624E8","97999.99999999953","3.6099999999999624E8","0.0","0.0","0.0","8.0","220.4796279694855","5.3442492456844606E7","0.0","1.3164785862617462E-4","250","2.754137228037384E-13"
"117","1.4559999999999962E9","171999.99999999953","1.4559999999999962E9","1.6673088208168446E-127","4.3049756771736806E-64","6.182503096620505E-26","48.0","248.65984518709354","9.702227445223753E7","4.1503746722121425E-12","0.006894543635848327","249","1.4246956536059098E-10"
"118","2.089E9","220000.0","2.089E9","2.1266643859257323E-110","1.981887290808601E-55","2.0709739967705883E-22","48.0","310.3003123924119","8186411.555159138","1.8385772246807216E-10","0.008135977901366234","249","9.145174240690927E-11"
"119","2.881E9","297999.9999999999","2.881E9","4.1402272934242974E-114","2.0365933440846772E-57","2.2334083238454994E-23","27.0","530.8109822137936","6.200615067820521E7","4.522125298282744E-11","0.012367961794864091","179","6.192732406793681E-11"
"120","7.292999999999975E9","571999.9999999993","7.292999999999975E9","1.0103824253629212E-109","3.60198013240698E-55","2.429048377108693E-22","51.0","698.745840432792","9.993541978976489E8","2.1089133274428181E-10","0.06513674880143051","249","1.1975319175606961E-10"
"121","1.0748999999999977E10","1237999.9999999981","1.0748999999999977E10","1.0011532764149341E-115","3.663643651700911E-58","1.524527799085596E-23","69.0","1174.970223549401","1483785.354792341","5.441305332565591E-11","0.08345251477198137","235","4.736556159556378E-11"
"122","4.66E8","94000.0","4.66E8","7.056709359383252E-113","1.1458236751658254E-56","6.457239555084452E-23","45.0","252.2306959830463","3.463331186920044E7","9.746657611093628E-11","9.709399560582042E-4","249","4.6606615947638685E-11"
"123","1.468E9","180000.0","1.468E9","2.285722795113828E-147","4.9105733351776986E-74","5.823547187964177E-30","23.0","492.4955651342397","2.7740621396664553E9","4.7646616091714E-14","0.00981040353787343","179","1.0533306833377002E-11"
"124","5.966999999999993E9","723999.9999999995","5.966999999999993E9","4.970658179191563E-112","2.2300490896599775E-56","5.800154671234998E-23","48.0","286.5517785871413","84405.14735083768","8.345330181273589E-11","0.024054631703709202","234","4.2719397837728816E-11"
"125","4000000.0","8000.0","4000000.0","9.487811398614903E-114","3.189836088793591E-57","3.331839556455765E-23","44.0","149.92312894828612","424396.74919841805","8.298353818409678E-11","5.398179903582427E-6","249","3.4065064660254563E-10"
"126","3.23E8","86000.0","3.23E8","1.0495109346619873E-136","1.0256760653142954E-68","6.883222790785398E-28","9.0","48.39789871770708","0.004042437666432411","4.564900072513081E-13","6.111571670559561E-5","243","0.0"
"127","3.678999999999979E9","299999.9999999994","3.678999999999979E9","8.675893301512334E-143","9.314447542131703E-72","3.8695711856138823E-29","20.0","395.4693141132095","1.0616360341212056E9","7.978629293009682E-14","0.016712797317438084","179","1.4038218874041741E-11"
"128","9.2E7","42000.0","9.2E7","2.7039734553812434E-118","1.6443764297952385E-59","3.0690642574167744E-24","47.0","181.46336856852167","1.6745790505032415E7","1.526572584916988E-11","6.343827018780855E-5","234","1.0688439787606794E-10"
"129","3.69E8","102000.0","3.69E8","0.0","0.0","0.0","11.0","101.2439418708703","95573.74081189912","0.0","1.046425752575474E-4","243","3.11936152563811E-11"
"130","1.169E9","274000.0","1.169E9","2.7540683506897563E-132","1.659538595721641E-66","4.875228131379882E-27","49.0","236.7587268599742","1341225.8683330615","7.41617935648694E-13","0.0016350342342752776","234","8.903851338304555E-11"
"131","2.5E8","78000.0","2.5E8","1.51668507689837E-119","3.89446411833306E-60","1.722578739677917E-24","12.0","127.32054341620491","150223.48818452458","1.1089480558670536E-11","7.421566270881653E-5","243","0.0"
"132","8.83E8","218000.0","8.83E8","4.87714261933044E-141","6.983654277066482E-71","8.6675424818136E-29","39.0","125.85845155943493","43.33369582226826","1.1981456035721183E-13","4.97211324950409E-4","234","2.037808834179169E-11"
"133","3.88E8","98000.0","3.88E8","2.569848866590109E-131","5.06936767909974E-66","7.6204657697993E-27","14.0","127.73734631937596","5899.929004109983","9.111888748581176E-13","1.0289814483302212E-4","243","0.0"
"134","6.009999999999983E9","503999.99999999907","6.009999999999983E9","0.0","0.0","0.0","31.0","101.04281125634044","1.6231287403243326E-7","0.0","0.021018294028241537","249","0.0"
"135","3.977999999999998E9","359999.99999999977","3.977999999999998E9","8.636959790335641E-113","9.30079384278354E-57","4.1152808190529056E-23","43.0","469.9155770663218","1.8319187972586298E9","6.719681682632855E-11","0.03588845921122656","249","4.100978234150327E-11"
"136","7.33999999999999E9","503999.9999999993","7.33999999999999E9","1.3902491853497668E-245","3.728604545067453E-123","1.0681162684711904E-49","47.0","294.48713391254444","2.2854725684251543E7","2.655952068911448E-23","0.04578391457010703","249","0.0"
